filename	ATTRIBUTE_BodySite	ATTRIBUTE_BodyHabitat
Cl.V3.3B10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V3.3B11.C	UBERON:skin of chest	UBERON:skin
Cl.V3.3B12.UB	UBERON:skin of back	UBERON:skin
Cl.V3.3C1.LB	UBERON:skin of back	UBERON:skin
Cl.V4.3C2.Blank	Not applicable	UBERON:blank
Cl.V4.3C3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V4.3C4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V4.3C5.C	UBERON:skin of chest	UBERON:skin
Cl.V4.3C6.UB	UBERON:skin of back	UBERON:skin
Cl.V4.3C7.LB	UBERON:skin of back	UBERON:skin
Cl.V5.3C8.Blank	Not applicable	UBERON:blank
Cl.V5.3C9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V5.3C10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V5.3C11.C	UBERON:skin of chest	UBERON:skin
Cl.V5.3C12.UB	UBERON:skin of back	UBERON:skin
Cl.V5.3D1.LB	UBERON:skin of back	UBERON:skin
Cl.V6.3D2.Blank	Not applicable	UBERON:blank
Cl.V6.3D3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V6.3D4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V6.3D5.C	UBERON:skin of chest	UBERON:skin
Cl.V6.3D6.UB	UBERON:skin of back	UBERON:skin
Cl.V6.3D7.LB	UBERON:skin of back	UBERON:skin
Cl.V10.3D8.Blank	Not applicable	UBERON:blank
Cl.V10.3D9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V10.3D10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V10.3D11.C	UBERON:skin of chest	UBERON:skin
Cl.V10.3D12.UB	UBERON:skin of back	UBERON:skin
Cl.V10.3E1.LB	UBERON:skin of back	UBERON:skin
Cl.V8.3E2.Blank	Not applicable	UBERON:blank
Cl.V8.3E3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V8.3E4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V8.3E5.C	UBERON:skin of chest	UBERON:skin
Cl.V8.3E6.UB	UBERON:skin of back	UBERON:skin
Cl.V8.3E7.LB	UBERON:skin of back	UBERON:skin
Cl.V7.3E8.Blank	Not applicable	UBERON:blank
Cl.V7.3E9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V7.3E10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V7.3E11.C	UBERON:skin of chest	UBERON:skin
Cl.V7.3E12.UB	UBERON:skin of back	UBERON:skin
Cl.V7.3F1.LB	UBERON:skin of back	UBERON:skin
Cl.V11.3F2.Blank	Not applicable	UBERON:blank
Cl.V11.3F3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V11.3F4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V11.3F5.C	UBERON:skin of chest	UBERON:skin
Cl.V11.3F6.UB	UBERON:skin of back	UBERON:skin
Cl.V11.3F7.LB	UBERON:skin of back	UBERON:skin
Cl.V12.3F8.Blank	Not applicable	UBERON:blank
Cl.V12.3F9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V12.3F10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V12.3F11.C	UBERON:skin of chest	UBERON:skin
Cl.V12.3F12.UB	UBERON:skin of back	UBERON:skin
Cl.V12.3G1.LB	UBERON:skin of back	UBERON:skin
Cl.Blank.4A1.empty	Not applicable	UBERON:blank
Cl.V1.4A2.Blank	Not applicable	UBERON:blank
Cl.V1.4A3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V1.4A4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V1.4A5.C	UBERON:skin of chest	UBERON:skin
Cl.V1.4A6.UB	UBERON:skin of back	UBERON:skin
Cl.V1.4A7.LB	UBERON:skin of back	UBERON:skin
Cl.V2.4A8.Blank	Not applicable	UBERON:blank
Cl.V2.4A9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V2.4A10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V2.4A11.C	UBERON:skin of chest	UBERON:skin
Cl.V2.4A12.UB	UBERON:skin of back	UBERON:skin
Cl.V2.4B1.LB	UBERON:skin of back	UBERON:skin
Cl.V3.4B2.Blank	Not applicable	UBERON:blank
Cl.V3.4B3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V3.4B4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V3.4B5.C	UBERON:skin of chest	UBERON:skin
Cl.V3.4B6.UB	UBERON:skin of back	UBERON:skin
Cl.V3.4B7.LB	UBERON:skin of back	UBERON:skin
Cl.V4.4B8.Blank	Not applicable	UBERON:blank
Cl.V4.4B9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V4.4B10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V4.4B11.C	UBERON:skin of chest	UBERON:skin
Cl.V4.4B12.UB	UBERON:skin of back	UBERON:skin
Cl.V4.4C1.LB	UBERON:skin of back	UBERON:skin
Cl.V5.4C2.Blank	Not applicable	UBERON:blank
Cl.V5.4C3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V5.4C4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V5.4C5.C	UBERON:skin of chest	UBERON:skin
Cl.V5.4C6.UB	UBERON:skin of back	UBERON:skin
Cl.V5.4C7.LB	UBERON:skin of back	UBERON:skin
Cl.V6.4C8.Blank	Not applicable	UBERON:blank
Cl.V6.4C9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V6.4C10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V6.4C11.C	UBERON:skin of chest	UBERON:skin
Cl.V6.4C12.UB	UBERON:skin of back	UBERON:skin
Cl.V6.4D1.LB	UBERON:skin of back	UBERON:skin
Cl.V8.4D2.Blank	Not applicable	UBERON:blank
Cl.V8.4D3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V8.4D4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V8.4D5.C	UBERON:skin of chest	UBERON:skin
Cl.V8.4D6.UB	UBERON:skin of back	UBERON:skin
Cl.V8.4D7.LB	UBERON:skin of back	UBERON:skin
Cl.V7.4D8.Blank	Not applicable	UBERON:blank
Cl.V7.4D9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V7.4D10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V7.4D11.C	UBERON:skin of chest	UBERON:skin
Cl.V7.4D12.UB	UBERON:skin of back	UBERON:skin
Cl.V7.4E1.LB	UBERON:skin of back	UBERON:skin
Cl.V9.4E2.Blank	Not applicable	UBERON:blank
Cl.V9.4E3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V9.4E4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V9.4E5.C	UBERON:skin of chest	UBERON:skin
Cl.V9.4E6.UB	UBERON:skin of back	UBERON:skin
Cl.V9.4E7.LB	UBERON:skin of back	UBERON:skin
Cl.V10.4E8.Blank	Not applicable	UBERON:blank
Cl.V10.4E9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V10.4E10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V10.4E11.C	UBERON:skin of chest	UBERON:skin
Cl.V10.4E12.UB	UBERON:skin of back	UBERON:skin
Cl.V10.4F1.LB	UBERON:skin of back	UBERON:skin
Cl.V12.4F2.Blank	Not applicable	UBERON:blank
Cl.V12.4F3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V12.4F4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V12.4F5.C	UBERON:skin of chest	UBERON:skin
Cl.V12.4F6.UB	UBERON:skin of back	UBERON:skin
Cl.V12.4F7.LB	UBERON:skin of back	UBERON:skin
Cl.V11.4F8.Blank	Not applicable	UBERON:blank
Cl.V11.4F9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V11.4F10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V11.4F11.C	UBERON:skin of chest	UBERON:skin
Cl.V11.4F12.UB	UBERON:skin of back	UBERON:skin
Cl.V11.4G1.LB	UBERON:skin of back	UBERON:skin
Cl.Blank.5A1.empty	Not applicable	UBERON:blank
Cl.V5.5A2.Blank	Not applicable	UBERON:blank
Cl.V5.5A3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V5.5A4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V5.5A5.C	UBERON:skin of chest	UBERON:skin
Cl.V5.5A6.UB	UBERON:skin of back	UBERON:skin
Cl.V5.5A7.LB	UBERON:skin of back	UBERON:skin
Cl.V1.5A8.Blank	Not applicable	UBERON:blank
Cl.V1.5A9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V1.5A10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V1.5A11.C	UBERON:skin of chest	UBERON:skin
Cl.V1.5A12.UB	UBERON:skin of back	UBERON:skin
Cl.V1.5B1.LB	UBERON:skin of back	UBERON:skin
Cl.V2.5B2.Blank	Not applicable	UBERON:blank
Cl.V2.5B3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V2.5B4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V2.5B5.C	UBERON:skin of chest	UBERON:skin
Cl.V2.5B6.UB	UBERON:skin of back	UBERON:skin
Cl.V2.5B7.LB	UBERON:skin of back	UBERON:skin
Cl.V3.5B8.Blank	Not applicable	UBERON:blank
Cl.V3.5B9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V3.5B10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V3.5B11.C	UBERON:skin of chest	UBERON:skin
Cl.V3.5B12.UB	UBERON:skin of back	UBERON:skin
Cl.V3.5C1.LB	UBERON:skin of back	UBERON:skin
Cl.V4.5C2.Blank	Not applicable	UBERON:blank
Cl.V4.5C3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V4.5C4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V4.5C5.C	UBERON:skin of chest	UBERON:skin
Cl.V4.5C6.UB	UBERON:skin of back	UBERON:skin
Cl.V4.5C7.LB	UBERON:skin of back	UBERON:skin
Cl.V6.5C8.Blank	Not applicable	UBERON:blank
Cl.V6.5C9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V6.5C10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V6.5C11.C	UBERON:skin of chest	UBERON:skin
Cl.V6.5C12.UB	UBERON:skin of back	UBERON:skin
Cl.V6.5D1.LB	UBERON:skin of back	UBERON:skin
Cl.V8.5D2.Blank	Not applicable	UBERON:blank
Cl.V8.5D3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V8.5D4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V8.5D5.C	UBERON:skin of chest	UBERON:skin
Cl.V8.5D6.UB	UBERON:skin of back	UBERON:skin
Cl.V8.5D7.LB	UBERON:skin of back	UBERON:skin
Cl.V7.5D8.Blank	Not applicable	UBERON:blank
Cl.V7.5D9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V7.5D10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V7.5D11.C	UBERON:skin of chest	UBERON:skin
Cl.V7.5D12.UB	UBERON:skin of back	UBERON:skin
Cl.V7.5E1.LB	UBERON:skin of back	UBERON:skin
Cl.V9.5E2.Blank	Not applicable	UBERON:blank
Cl.V9.5E3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V9.5E4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V9.5E5.C	UBERON:skin of chest	UBERON:skin
Cl.V9.5E6.UB	UBERON:skin of back	UBERON:skin
Cl.V9.5E7.LB	UBERON:skin of back	UBERON:skin
Cl.V10.5E8.Blank	Not applicable	UBERON:blank
Cl.V10.5E9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V10.5E10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V10.5E11.C	UBERON:skin of chest	UBERON:skin
Cl.V10.5E12.UB	UBERON:skin of back	UBERON:skin
Cl.V10.5F1.LB	UBERON:skin of back	UBERON:skin
Cl.V11.5F2.Blank	Not applicable	UBERON:blank
Cl.V11.5F3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V11.5F4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V11.5F5.C	UBERON:skin of chest	UBERON:skin
Cl.V11.5F6.UB	UBERON:skin of back	UBERON:skin
Cl.V11.5F7.LB	UBERON:skin of back	UBERON:skin
Cl.V12.5F8.Blank	Not applicable	UBERON:blank
Cl.V12.5F9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V12.5F10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V12.5F11.C	UBERON:skin of chest	UBERON:skin
Cl.V12.5F12.UB	UBERON:skin of back	UBERON:skin
Cl.V12.5G1.LB	UBERON:skin of back	UBERON:skin
		
Cl.Blank.6A1.empty	Not applicable	UBERON:blank
Cl.V7.6A2.Blank	Not applicable	UBERON:blank
Cl.V7.6A3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V7.6A4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V7.6A5.C	UBERON:skin of chest	UBERON:skin
Cl.V7.6A6.UB	UBERON:skin of back	UBERON:skin
Cl.V7.6A7.LB	UBERON:skin of back	UBERON:skin
Cl.V8.6A8.Blank	Not applicable	UBERON:blank
Cl.V8.6A9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V8.6A10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V8.6A11.C	UBERON:skin of chest	UBERON:skin
Cl.V8.6A12.UB	UBERON:skin of back	UBERON:skin
Cl.V8.6B1.LB	UBERON:skin of back	UBERON:skin
Cl.V1.6B2.Blank	Not applicable	UBERON:blank
Cl.V1.6B3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V1.6B4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V1.6B5.C	UBERON:skin of chest	UBERON:skin
Cl.V1.6B6.UB	UBERON:skin of back	UBERON:skin
Cl.V1.6B7.LB	UBERON:skin of back	UBERON:skin
Cl.V3.6B8.Blank	Not applicable	UBERON:blank
Cl.V3.6B9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V3.6B10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V3.6B11.C	UBERON:skin of chest	UBERON:skin
